City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Season,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,O3_SI,HRI,HRI_Category
Ahmedabad,2015-02-04,80.65,107.96,2.37,22.83,24.0,,2.37,25.73,47.3,0.0,0.0,0.0,294.0,Poor,2015,2,Winter,368.83333333333337,139.9111111111111,45.66,32.1625,0.029625000000000002,23.65,171.79,Unhealthy
Ahmedabad,2015-02-05,58.36,107.96,2.6,21.39,23.31,,2.6,32.66,53.54,0.0,0.0,0.0,149.0,Moderate,2015,2,Winter,289.06666666666666,139.9111111111111,42.78,40.824999999999996,0.0325,26.77,144.47,Unhealthy
Ahmedabad,2015-02-06,79.29,107.96,1.16,26.94,26.83,,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate,2015,2,Winter,364.3,139.9111111111111,53.88,84.26249999999999,0.0145,29.65,177.66,Unhealthy
Ahmedabad,2015-02-07,88.7,107.96,7.29,31.32,37.73,,7.29,80.09,44.76,0.0,0.0,0.0,247.0,Poor,2015,2,Winter,395.66666666666663,139.9111111111111,62.63999999999999,100.22500000000001,0.091125,22.38,191.26,Unhealthy
Ahmedabad,2015-02-08,74.28,107.96,8.92,27.3,33.42,,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor,2015,2,Winter,347.6,139.9111111111111,54.6,67.85,0.11149999999999999,23.71,169.72,Unhealthy
Ahmedabad,2015-02-09,113.93,107.96,4.32,24.27,26.86,,4.32,48.73,39.94,0.02,0.0,3.55,341.0,Very Poor,2015,2,Winter,479.76666666666665,139.9111111111111,48.54,60.912499999999994,0.054,19.97,213.7,Very Unhealthy
Ahmedabad,2015-02-10,105.39,107.96,1.41,18.21,18.75,,1.41,35.91,56.15,0.0,0.0,3.31,256.0,Poor,2015,2,Winter,451.29999999999995,139.9111111111111,36.42,44.887499999999996,0.017625000000000002,28.075,200.52,Very Unhealthy
Ahmedabad,2015-02-11,66.52,107.96,6.34,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49,388.0,Very Poor,2015,2,Winter,321.73333333333335,139.9111111111111,47.6,83.225,0.07925,26.57,161.09,Unhealthy
Ahmedabad,2015-02-12,65.04,107.96,14.19,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51,288.0,Poor,2015,2,Winter,316.8,139.9111111111111,60.199999999999996,82.38749999999999,0.177375,15.939999999999998,160.74,Unhealthy
Ahmedabad,2015-02-13,103.36,107.96,18.18,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35,510.0,Severe,2015,2,Winter,444.5333333333333,139.9111111111111,79.12,101.07500000000003,0.22724999999999998,20.055,211.52,Very Unhealthy
